iter	Logloss
113	0.4070018035
114	0.4068152537
115	0.4066554466
116	0.406351672
117	0.4061309211
118	0.4059548895
119	0.4057466894
120	0.4055937564
121	0.4054108986
122	0.4053633127
123	0.4051766005
124	0.4050711622
125	0.4048968021
126	0.4047288016
127	0.4046152729
128	0.4044718775
129	0.4042984949
130	0.4041546402
131	0.4040427785
132	0.4038999237
133	0.4037176927
134	0.4035706568
135	0.4034572317
136	0.4033343804
137	0.4032204855
138	0.4030474248
139	0.4029230068
140	0.4027702416
141	0.4026321791
142	0.4025356262
143	0.4024653141
144	0.4023487191
145	0.4022401208
146	0.402093187
147	0.401908801
148	0.4018105489
149	0.4016355884
150	0.4015544222
151	0.4014446282
152	0.4013530158
153	0.4012793391
154	0.4012112134
155	0.4011046366
156	0.4010174678
157	0.4009465342
158	0.4007971749
159	0.4006870709
160	0.400544635
161	0.4004216083
162	0.4002623279
163	0.4001631564
164	0.4000436804
165	0.3998701265
166	0.3997321024
167	0.3996224541
168	0.3995581927
169	0.3994457123
170	0.3993129866
171	0.3992807106
172	0.3991850987
173	0.3990810822
174	0.3989532593
175	0.3988504108
176	0.3987355373
177	0.3986623859
178	0.3985822593
179	0.3984728155
180	0.3983716022
181	0.3982812794
182	0.3981797774
183	0.3980380343
184	0.3979936587
185	0.3979215855
186	0.3978238316
187	0.3976425632
188	0.3975519794
189	0.3974578713
190	0.3973824668
191	0.397287772
192	0.397261048
193	0.3972164205
194	0.3971449335
195	0.3971228604
196	0.397005237
197	0.3969589854
198	0.3969014695
199	0.3968515781
200	0.3967947603
201	0.3967552416
202	0.3966673954
203	0.3966237798
204	0.3965794467
205	0.3965146965
206	0.3964356416
207	0.3963485357
208	0.3962760069
209	0.3961291148
210	0.3960665617
211	0.3960239689
212	0.3959388436
213	0.3958771182
214	0.3958430464
215	0.3957789473
216	0.3956340224
217	0.3955617992
218	0.3955027832
219	0.3954147956
220	0.395363383
221	0.395277906
222	0.395160873
223	0.3950909281
224	0.3950031262
225	0.3949424206
226	0.3948880661
227	0.3947837725
228	0.3947561525
229	0.3947146749
230	0.3946676421
231	0.3946183706
232	0.3945985445
233	0.3945787933
234	0.3945686753
235	0.3944691454
236	0.3943906242
237	0.394344763
238	0.39425976
239	0.3942547356
240	0.3942231983
241	0.3941052369
242	0.3940264279
243	0.3939492057
244	0.3938387984
245	0.393772665
246	0.3936501482
247	0.3935961148
248	0.3935589853
249	0.3935532794
250	0.3935011453
251	0.3934357077
252	0.3933670136
253	0.3933073612
254	0.3932034699
255	0.3931082285
256	0.3930194697
257	0.3929469307
258	0.3929002149
259	0.392835431
260	0.3927740353
261	0.3927256103
262	0.3926426777
263	0.3925476726
264	0.39251299
265	0.3924746981
266	0.3923895487
267	0.3923423367
268	0.3922872328
269	0.3922021134
270	0.3921143892
271	0.3920447161
272	0.3919493667
273	0.391890396
274	0.3918240452
275	0.3917867702
276	0.3917584561
277	0.3916907738
278	0.3916315932
279	0.3915588991
280	0.3914848291
281	0.3914595542
282	0.3913646832
283	0.3912913867
284	0.3912253407
285	0.3911643899
286	0.3911028943
287	0.3910424344
288	0.3909776871
289	0.3908988617
290	0.390896795
291	0.3907737423
292	0.3907096334
293	0.3906744418
294	0.3905993037
295	0.3905609792
296	0.3904907251
297	0.3904085463
298	0.3903464806
299	0.39026757
300	0.390216639
301	0.3901572457
302	0.3900920255
303	0.3899948676
304	0.3899368274
305	0.3898322471
306	0.3897671966
307	0.3897034113
308	0.3896454118
309	0.3895061706
310	0.3894315226
311	0.3893931518
312	0.389330942
313	0.3892662449
314	0.3892128366
315	0.3891783791
316	0.3891324534
317	0.3890849198
318	0.3890281843
319	0.3889022423
320	0.3888102916
321	0.3886745004
322	0.388620953
323	0.3885462096
324	0.3885090674
325	0.3884358241
326	0.388375973
327	0.3882850222
328	0.3882371881
329	0.3881809805
330	0.3881621161
331	0.3880936823
332	0.3880192048
333	0.3879367104
334	0.3878572699
335	0.3877960985
336	0.3877431518
337	0.3876917227
338	0.3876480874
339	0.3875742197
340	0.3874694844
341	0.3874239983
342	0.3873670586
343	0.3872374497
344	0.3871369385
345	0.3870826145
346	0.3870352079
347	0.3869640956
348	0.3868857711
349	0.3868064598
350	0.3867416586
351	0.3866846261
352	0.38662936
353	0.3865777517
354	0.3864469407
355	0.3863354485
356	0.3862305861
357	0.3861559157
358	0.3860930911
359	0.3860353744
360	0.385972223
361	0.385853358
362	0.3857998087
363	0.3857630326
364	0.3857147591
365	0.3856460107
366	0.3855712755
367	0.3854552111
368	0.3853891536
369	0.3852859729
370	0.3851731511
371	0.3850471988
372	0.384984169
373	0.3849499359
374	0.3848798763
375	0.3847800104
376	0.3846688772
377	0.3846121295
378	0.384530811
379	0.3844717072
380	0.3843935387
381	0.3843114858
382	0.3842168952
383	0.3841397427
384	0.3840280783
385	0.3839586387
386	0.3838925299
387	0.383827852
388	0.3837576504
389	0.383649035
390	0.3835621867
391	0.3834607345
392	0.3834019683
393	0.3833546866
394	0.3832243296
395	0.3831395155
396	0.3830882292
397	0.3829637983
398	0.3829072148
399	0.3828233145
400	0.3827667512
401	0.3826990699
402	0.3826300892
403	0.3825910402
404	0.3825369349
405	0.3824870891
406	0.3823963345
407	0.3822990609
408	0.3822506723
409	0.382178157
410	0.3820893405
411	0.3819759213
412	0.3819163125
413	0.3818399076
414	0.3817763227
415	0.3817147321
416	0.3816392456
417	0.3815333574
418	0.3814696468
419	0.3814060205
420	0.3813236773
421	0.3812580407
422	0.3811941345
423	0.381147976
424	0.3810591049
425	0.3809642451
426	0.3808972293
427	0.3808336718
428	0.380788709
429	0.3807293498
430	0.3806189918
431	0.3805777506
432	0.380536135
433	0.3804781357
434	0.3803989718
435	0.380356829
436	0.3802947432
437	0.3802054938
438	0.3801351822
439	0.3800674162
440	0.3800062491
441	0.3799593626
442	0.3799073008
443	0.3798125338
444	0.3797508194
445	0.3796099405
446	0.3795570623
447	0.3794520717
448	0.3793917858
449	0.3793024063
450	0.3792368899
451	0.3791999741
452	0.3791560872
453	0.379092138
454	0.3790202288
455	0.3789211896
456	0.3788421248
457	0.3787214682
458	0.3786729118
459	0.3786418913
460	0.3785579593
461	0.3784445316
462	0.3783772789
463	0.3783205312
464	0.3782778791
465	0.378222787
466	0.378101281
467	0.3780029812
468	0.3779499289
469	0.3779206276
470	0.3778126327
471	0.3777179555
472	0.3776045772
473	0.3775496534
474	0.3774714705
475	0.3773934695
476	0.3772968632
477	0.377206854
478	0.3771649483
479	0.3770619041
480	0.3770341503
481	0.3769793048
482	0.3769013597
483	0.37679747
484	0.3767712269
485	0.3767190747
486	0.3766795692
487	0.3765901416
488	0.3765418633
489	0.3764898875
490	0.3764240849
491	0.3763291735
492	0.3762483788
493	0.3761601443
494	0.3760916609
495	0.3760020462
496	0.3759305268
497	0.3759022088
498	0.3757991885
499	0.3757247407
